Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.7077922077922078,0.5882352941176471,0.5555555555555556,0.5714285714285714
Decision Tree,0.8116883116883117,0.7450980392156863,0.7037037037037037,0.7238095238095238
Random Forest,0.8636363636363636,0.8113207547169812,0.7962962962962963,0.8037383177570093
SVM,0.8376623376623377,0.7636363636363637,0.7777777777777778,0.7706422018348624
