,Random Forest,Decision Tree
Pregnancies,0.04625983574913119,0.042769069612882425
Glucose,0.17398548538408765,0.09590686490625304
BloodPressure,0.048063504228215134,0.04621065611848938
SkinThickness,0.1386291654295243,0.09981270360647988
Insulin,0.3583665393092024,0.5580787593544727
BMI,0.0901950407575136,0.05081363038671894
DiabetesPedigreeFunction,0.07155947204049867,0.041900778882534566
Age,0.07294095710182717,0.06450753713216907
